# Time 	 GP Component 	 Full model (GP + Keplerian) 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
2458895.1295645405 	 0.0000000000 	 13.1411125634 	 9.9870654881 	 16.2889883218 	 6.5703664221 	 19.5018178348 	 4.1831924671 	 21.6399981893
2458895.3347697454 	 0.0000000000 	 18.8046668289 	 15.9190881971 	 21.6392272132 	 12.7172382436 	 24.6196729006 	 10.5306277311 	 26.6664511953
2458895.5399749507 	 0.0000000000 	 22.4681492314 	 20.0380843194 	 24.8597848629 	 17.3261341115 	 27.5886591846 	 15.3522495139 	 29.4515156659
2458895.7451801561 	 0.0000000000 	 23.4109107157 	 21.3978918569 	 25.5118710584 	 19.2271861127 	 27.9497346012 	 17.7791694228 	 29.5244011548
2458895.9503853610 	 0.0000000000 	 21.4696156819 	 19.0720856765 	 23.6536890015 	 16.0416893352 	 25.9856770457 	 13.8644570610 	 27.6451565008
2458896.1555905663 	 0.0000000000 	 16.5512501949 	 12.9542167510 	 19.6166751709 	 8.5713363567 	 22.4853260070 	 5.3508120101 	 24.4159401191
2458896.3607957717 	 0.0000000000 	 9.1844459256 	 4.5572885474 	 13.3948447446 	 -0.5029340840 	 17.3200062759 	 -3.8515032660 	 19.8006191979
2458896.5660009766 	 0.0000000000 	 0.4889868028 	 -4.3775731339 	 5.3179606646 	 -9.2089554279 	 10.3190000543 	 -12.1673001233 	 13.4551949197
2458896.7712061820 	 0.0000000000 	 -8.0027557519 	 -12.3562939280 	 -3.3967102007 	 -16.1841946486 	 1.8391330765 	 -18.7496817186 	 5.4670212290
2458896.9764113873 	 0.0000000000 	 -15.1169819188 	 -18.3236774918 	 -11.4226731479 	 -21.3390240574 	 -6.8970397067 	 -23.1653632620 	 -3.1478757444
2458897.1816165922 	 0.0000000000 	 -19.9002443671 	 -22.1108132199 	 -17.4567563972 	 -24.4520486538 	 -14.3061503823 	 -26.0243463832 	 -11.1179137594
